sample_id,group_id,antibiotic,label,marker_count,mutation_count,target_confirmed
562.22745,grp_0020,ciprofloxacin,0,0,0,1
562.22745,grp_0020,gentamicin,0,0,0,1
562.22934,grp_0021,ciprofloxacin,0,0,0,1
562.22934,grp_0021,ciprofloxacin,0,0,0,1
562.22934,grp_0021,gentamicin,0,0,0,1
562.23346,grp_0022,ciprofloxacin,0,0,0,1
562.23346,grp_0022,ciprofloxacin,0,0,0,1
562.23346,grp_0022,gentamicin,0,0,0,1
562.23390,grp_0002,ciprofloxacin,0,0,1,1
562.23390,grp_0002,ciprofloxacin,0,0,1,1
562.23390,grp_0002,gentamicin,0,0,0,1
562.23760,grp_0003,ciprofloxacin,1,0,4,1
562.23760,grp_0003,ciprofloxacin,1,0,4,1
562.23760,grp_0003,gentamicin,1,1,0,1
562.28565,grp_0017,ciprofloxacin,0,0,0,1
562.28565,grp_0017,ceftriaxone,0,0,0,1
562.28565,grp_0017,gentamicin,0,0,0,1
562.28845,grp_0003,ciprofloxacin,1,1,4,1
562.28845,grp_0003,ceftriaxone,1,1,0,1
562.28845,grp_0003,gentamicin,1,2,0,1
562.31451,grp_0006,ciprofloxacin,1,1,3,1
562.31451,grp_0006,ceftriaxone,1,1,0,1
562.31451,grp_0006,gentamicin,1,2,0,1
562.33280,grp_0023,ciprofloxacin,0,0,0,1
562.33280,grp_0023,ceftriaxone,1,4,0,1
562.33280,grp_0023,gentamicin,0,0,0,1
562.37112,grp_0004,ciprofloxacin,1,0,3,1
562.37112,grp_0004,ceftriaxone,1,0,0,1
562.37112,grp_0004,gentamicin,0,0,0,1
562.42645,grp_0003,ciprofloxacin,1,0,4,1
562.42645,grp_0003,ceftriaxone,1,1,0,1
562.42645,grp_0003,gentamicin,0,0,0,1
562.42658,grp_0024,ciprofloxacin,1,0,3,1
562.42658,grp_0024,ceftriaxone,1,1,0,1
562.42658,grp_0024,gentamicin,0,0,0,1
562.42683,grp_0003,ciprofloxacin,1,0,4,1
562.42683,grp_0003,ceftriaxone,1,1,0,1
562.42683,grp_0003,gentamicin,0,0,0,1
562.42718,grp_0003,ciprofloxacin,1,1,4,1
562.42718,grp_0003,ceftriaxone,1,1,0,1
562.42718,grp_0003,gentamicin,1,2,0,1
562.42724,grp_0025,ciprofloxacin,0,1,0,1
562.42724,grp_0025,ceftriaxone,1,1,0,1
562.42724,grp_0025,gentamicin,0,0,0,1
562.42739,grp_0003,ceftriaxone,1,1,0,1
562.42739,grp_0003,gentamicin,1,1,0,1
562.42743,grp_0017,ciprofloxacin,0,0,0,1
562.42743,grp_0017,ceftriaxone,1,1,0,1
562.42743,grp_0017,gentamicin,0,0,0,1
562.42826,grp_0003,ciprofloxacin,1,0,4,1
562.42826,grp_0003,ceftriaxone,1,1,0,1
562.42836,grp_0003,ciprofloxacin,0,0,1,1
562.42836,grp_0003,ceftriaxone,0,0,0,1
562.42836,grp_0003,gentamicin,1,1,0,1
562.42852,grp_0003,ciprofloxacin,1,0,4,1
562.42852,grp_0003,ceftriaxone,1,1,0,1
562.42852,grp_0003,gentamicin,0,0,0,1
562.42859,grp_0003,ciprofloxacin,1,0,4,1
562.42859,grp_0003,ceftriaxone,1,1,0,1
562.42859,grp_0003,gentamicin,0,0,0,1
562.45396,grp_0004,ciprofloxacin,1,0,3,1
562.45396,grp_0004,gentamicin,1,0,0,1
562.45604,grp_0026,ceftriaxone,0,0,0,1
562.45604,grp_0026,gentamicin,0,0,0,1
562.45617,grp_0004,ciprofloxacin,1,0,3,1
562.45617,grp_0004,ceftriaxone,0,0,0,1
562.45617,grp_0004,gentamicin,0,0,0,1
562.45636,grp_0004,ciprofloxacin,1,0,3,1
562.45636,grp_0004,ceftriaxone,0,0,0,1
562.45636,grp_0004,gentamicin,0,0,0,1
562.45848,grp_0027,ciprofloxacin,1,0,0,1
562.45848,grp_0027,ceftriaxone,1,0,0,1
562.45848,grp_0027,gentamicin,0,0,0,1
562.48348,grp_0021,ceftriaxone,1,1,0,1
562.48348,grp_0021,gentamicin,0,0,0,1
562.57279,grp_0003,ciprofloxacin,1,1,4,1
562.57279,grp_0003,gentamicin,0,1,0,1
562.57364,grp_0019,ciprofloxacin,0,1,0,1
562.57364,grp_0019,gentamicin,1,1,0,1
562.57368,grp_0006,ciprofloxacin,1,1,3,1
562.57368,grp_0006,gentamicin,1,1,0,1
562.57377,grp_0006,ciprofloxacin,0,1,0,1
562.57377,grp_0006,gentamicin,1,1,0,1
562.57404,grp_0006,ciprofloxacin,1,1,1,1
562.57404,grp_0006,gentamicin,1,1,0,1
562.57428,grp_0006,ciprofloxacin,1,1,2,1
562.57428,grp_0006,gentamicin,1,1,0,1
562.57453,grp_0021,ciprofloxacin,1,0,3,1
562.57453,grp_0021,gentamicin,1,1,0,1
562.58628,grp_0004,ciprofloxacin,0,1,0,1
562.58628,grp_0004,ceftriaxone,1,1,0,1
562.58628,grp_0004,gentamicin,0,0,0,1
562.58783,grp_0006,ciprofloxacin,0,1,0,1
562.58783,grp_0006,ciprofloxacin,0,1,0,1
562.58783,grp_0006,ceftriaxone,0,0,0,1
562.58783,grp_0006,ceftriaxone,0,0,0,1
562.58783,grp_0006,gentamicin,0,0,0,1
562.58783,grp_0006,gentamicin,0,0,0,1
562.58784,grp_0004,ciprofloxacin,0,1,0,1
562.58784,grp_0004,ciprofloxacin,0,1,0,1
562.58784,grp_0004,ceftriaxone,0,0,0,1
562.58784,grp_0004,ceftriaxone,0,0,0,1
562.58784,grp_0004,gentamicin,0,0,0,1
562.58784,grp_0004,gentamicin,0,0,0,1
562.7672,grp_0004,ciprofloxacin,0,0,0,1
562.7672,grp_0004,ciprofloxacin,0,0,0,1
562.7672,grp_0004,ceftriaxone,0,0,0,1
562.7672,grp_0004,ceftriaxone,0,0,0,1
562.7672,grp_0004,gentamicin,0,0,0,1
562.7672,grp_0004,gentamicin,0,0,0,1
562.7682,grp_0006,ciprofloxacin,0,0,0,1
562.7682,grp_0006,ciprofloxacin,0,0,0,1
562.7682,grp_0006,ceftriaxone,0,0,0,1
562.7682,grp_0006,ceftriaxone,0,0,0,1
562.7682,grp_0006,gentamicin,0,0,0,1
562.7682,grp_0006,gentamicin,0,0,0,1
562.7702,grp_0028,ciprofloxacin,0,0,0,1
562.7702,grp_0028,ciprofloxacin,0,0,0,1
562.7702,grp_0028,ceftriaxone,0,0,0,1
562.7702,grp_0028,ceftriaxone,0,0,0,1
562.7702,grp_0028,gentamicin,0,0,0,1
562.7702,grp_0028,gentamicin,0,0,0,1
562.96455,grp_0004,ciprofloxacin,0,0,0,1
562.96455,grp_0004,gentamicin,1,1,0,1
562.96463,grp_0003,ciprofloxacin,0,0,1,1
562.96463,grp_0003,gentamicin,1,1,0,1
562.96610,grp_0029,ciprofloxacin,0,0,0,1
562.96610,grp_0029,gentamicin,0,0,0,1
562.96666,grp_0001,ciprofloxacin,1,0,3,1
562.96666,grp_0001,gentamicin,0,0,0,1
562.96677,grp_0003,ciprofloxacin,1,0,4,1
562.96677,grp_0003,gentamicin,0,0,0,1
562.96717,grp_0030,ciprofloxacin,0,0,0,1
562.96717,grp_0030,gentamicin,0,0,0,1
562.96784,grp_0004,ciprofloxacin,1,0,3,1
562.96784,grp_0004,gentamicin,0,0,0,1
562.96919,grp_0022,ciprofloxacin,0,0,0,1
562.96919,grp_0022,gentamicin,0,0,0,1
562.96965,grp_0003,ciprofloxacin,1,1,4,1
562.96965,grp_0003,gentamicin,1,2,0,1
562.96971,grp_0031,ciprofloxacin,1,1,3,1
562.96971,grp_0031,gentamicin,1,2,0,1
562.96995,grp_0031,ciprofloxacin,1,1,3,1
562.96995,grp_0031,gentamicin,1,2,0,1
562.97072,grp_0003,ciprofloxacin,1,1,4,1
562.97072,grp_0003,gentamicin,1,2,0,1
562.97074,grp_0003,ciprofloxacin,1,1,4,1
562.97074,grp_0003,gentamicin,1,2,0,1
562.97222,grp_0004,ciprofloxacin,1,0,3,1
562.97222,grp_0004,gentamicin,0,0,0,1
562.97986,grp_0019,ciprofloxacin,0,0,0,1
562.97986,grp_0019,gentamicin,0,0,0,1
562.98113,grp_0020,ciprofloxacin,0,0,0,1
562.98113,grp_0020,gentamicin,0,0,0,1
562.98175,grp_0019,ciprofloxacin,0,0,0,1
562.98175,grp_0019,gentamicin,0,0,0,1
562.98181,grp_0032,ciprofloxacin,0,0,0,1
562.98181,grp_0032,gentamicin,0,0,0,1
562.98212,grp_0021,ciprofloxacin,1,0,3,1
562.98212,grp_0021,gentamicin,0,0,0,1
562.98316,grp_0020,ciprofloxacin,0,0,0,1
562.98316,grp_0020,gentamicin,0,0,0,1
562.98348,grp_0006,gentamicin,1,1,0,1
562.98437,grp_0003,ciprofloxacin,1,0,4,1
562.98437,grp_0003,gentamicin,1,1,0,1
562.98490,grp_0033,ciprofloxacin,0,0,1,1
562.98490,grp_0033,gentamicin,0,0,0,1
562.98523,grp_0019,ciprofloxacin,0,0,0,1
562.98523,grp_0019,gentamicin,0,0,0,1
562.98800,grp_0002,ciprofloxacin,0,0,0,1
562.98800,grp_0002,gentamicin,0,0,0,1
562.98919,grp_0020,ciprofloxacin,0,0,0,1
562.98919,grp_0020,gentamicin,0,0,0,1
562.99080,grp_0034,ciprofloxacin,0,0,0,1
562.99080,grp_0034,gentamicin,0,0,0,1
562.99156,grp_0021,ciprofloxacin,1,0,0,1
562.99156,grp_0021,gentamicin,0,0,0,1
562.99320,grp_0035,ciprofloxacin,1,0,4,1
562.99320,grp_0035,gentamicin,0,0,0,1
562.99400,grp_0001,ciprofloxacin,1,0,3,1
562.99400,grp_0001,gentamicin,0,0,0,1
562.99437,grp_0020,ciprofloxacin,0,0,1,1
562.99437,grp_0020,gentamicin,0,0,0,1
